data,label,angle
"[0.81408525 0.09345376 0.51245534 0.7983681  0.07759053 0.53702265
 0.7966046  0.07876009 0.5635232  0.7468826  0.09857158 0.6823482
 0.74520606 0.09636136 0.6865302  0.73448694 0.17521021 0.6520349
 0.72032434 0.1790746  0.34770736 0.6988573  0.30674472 0.6080447
 0.6948923  0.3086496  0.5538165  0.89625734 0.30998608 0.8416806
 0.88019615 0.31930104 0.43959922 0.7203424  0.4296942  0.40434518
 0.71818024 0.4357999  0.55701756 0.7813416  0.61450595 0.64642453
 0.776454   0.60941356 0.59078103 0.75668216 0.81193024 0.6819825
 0.7563104  0.7962244  0.724145  ]",pushup,"24.708770751953125,25.3857650756836,19.032920837402344,21.447349548339844,97.8146514892578,104.21565246582033"
"[0.12997487 0.5109358  0.70182216 0.11518823 0.5196347  0.7506359
 0.10894755 0.4922093  0.68831563 0.12391496 0.49937877 0.5229604
 0.11399897 0.4371188  0.5772811  0.22329268 0.5081372  0.72810143
 0.20524938 0.38291287 0.8058821  0.31114206 0.6217233  0.43630284
 0.33374122 0.46781716 0.5270893  0.33648667 0.60715044 0.46621567
 0.3521458  0.5641867  0.58320147 0.46824285 0.53900594 0.7702895
 0.46532828 0.45136055 0.71343845 0.6638475  0.55105114 0.74561834
 0.6702331  0.44724157 0.724795   0.81707895 0.37160382 0.65975094
 0.86277765 0.45811826 0.4347183 ]",standingFront,"175.61521911621094,126.970458984375,164.10360717773438,3.658782958984375,45.73213195800781,97.8205680847168"
"[0.4979363  0.7253858  0.6608639  0.48179173 0.7459734  0.6023713
 0.47938672 0.7408641  0.82713354 0.50550264 0.8100522  0.8228484
 0.4966208  0.7985576  0.67547077 0.603316   0.7958554  0.82646525
 0.5750858  0.7497389  0.61521846 0.58672225 0.56003886 0.5310707
 0.574227   0.6044141  0.22034656 0.55645686 0.5802322  0.7652023
 0.5496621  0.580817   0.32525158 0.76735705 0.51496184 0.57830054
 0.73644143 0.5152922  0.75612986 0.5537733  0.29024625 0.79500896
 0.54948634 0.2922795  0.6794758  0.7374906  0.10986198 0.67864895
 0.7258948  0.11546738 0.7724224 ]",situp,"84.90816497802734,89.06961059570312,74.51094818115234,73.82994079589844,45.81250762939453,60.31352233886719"
"[0.47481233 0.64262223 0.3848078  0.4616762  0.6542674  0.4440752
 0.4655795  0.66129106 0.43235028 0.47412506 0.6712445  0.5042083
 0.47799054 0.6889481  0.44508335 0.5226595  0.6140494  0.24991646
 0.5553331  0.67147416 0.26322952 0.3906381  0.5392362  0.5586532
 0.39437166 0.54229826 0.31340247 0.53190106 0.5692298  0.0975266
 0.47749949 0.681944   0.25421268 0.5820453  0.38654265 0.45040157
 0.5534637  0.4258734  0.4229121  0.41488627 0.3027216  0.7585266
 0.40696847 0.34205344 0.55290455 0.62224364 0.21091941 0.6740873
 0.6082226  0.29273656 0.3683429 ]",situp,"136.4542694091797,129.48861694335938,59.78706741333008,77.99817657470703,20.48765182495117,17.551873207092285"
"[0.37082466 0.25545773 0.6019145  0.35569227 0.24227685 0.73321307
 0.35028216 0.24624705 0.4437259  0.3276706  0.2539289  0.7473054
 0.3150951  0.2660537  0.71124405 0.3659864  0.29728985 0.60986567
 0.30772763 0.36924747 0.6641188  0.5616407  0.3326031  0.8696026
 0.48529017 0.42186242 0.45441246 0.73224795 0.34276477 0.8714178
 0.6451295  0.42847562 0.7083473  0.4556642  0.47862065 0.5202173
 0.43211156 0.5198517  0.5088556  0.5749292  0.6498724  0.81965446
 0.54886883 0.66202676 0.73614085 0.6618256  0.8300605  0.66076964
 0.6363304  0.82571477 0.70401955]",pushup,"11.27716064453125,9.108657836914062,0.1596832275390625,8.5396728515625,14.13629150390625,6.822443008422852"
"[0.23520377 0.534771   0.66391945 0.21323034 0.54927844 0.8086879
 0.21043557 0.5095712  0.902888   0.22616959 0.5412904  0.7956567
 0.2196698  0.46338826 0.5680387  0.3371349  0.47190097 0.7990849
 0.34343296 0.44197163 0.91275114 0.5063543  0.5140956  0.35176066
 0.53315395 0.50530964 0.51896757 0.48366967 0.5636261  0.47306105
 0.4954065  0.56253946 0.5107477  0.6193653  0.33611128 0.66918457
 0.6290704  0.3053612  0.75202775 0.56746185 0.5930998  0.5702608
 0.5810891  0.58901423 0.61774683 0.7691224  0.4222042  0.47485158
 0.7834044  0.398977   0.77408826]",squat,"37.19141387939453,38.302345275878906,54.838844299316406,52.88803863525391,104.9464111328125,100.60631561279295"
"[0.4379629  0.7543488  0.70459193 0.42438513 0.7874506  0.80390143
 0.4242981  0.78167206 0.69251686 0.4623976  0.85407746 0.9075343
 0.46082085 0.846494   0.69353724 0.60314643 0.7969557  0.7289648
 0.5632486  0.7619165  0.637375   0.59801614 0.5368858  0.7152292
 0.6101221  0.6379813  0.15883738 0.5045476  0.5969782  0.59210163
 0.5189306  0.6102792  0.3706681  0.65560186 0.39986333 0.56879634
 0.6175093  0.42129734 0.59717005 0.38746145 0.13999856 0.871302
 0.40110973 0.2127719  0.27102584 0.6572977  0.0086538  0.7104106
 0.6496264  0.01689558 0.77527976]",situp,"97.81706237792967,109.94309997558594,55.112789154052734,53.42308044433594,93.81938934326172,58.392486572265625"
"[0.46653026 0.29383928 0.5328063  0.4586295  0.27613112 0.6432834
 0.46146584 0.27303305 0.652953   0.48296145 0.2651808  0.47412217
 0.4929602  0.26273283 0.68410146 0.5197185  0.3279937  0.72647893
 0.5662829  0.31411585 0.82460445 0.525328   0.439394   0.22500876
 0.5842628  0.46460813 0.62292415 0.45004666 0.40902925 0.49506122
 0.45649052 0.42091772 0.45270476 0.53830236 0.5418201  0.5857086
 0.58320117 0.5468345  0.64312243 0.4387804  0.6586966  0.64366066
 0.45261338 0.6745082  0.6536334  0.58353096 0.82742774 0.43079904
 0.5972992  0.834068   0.66125566]",situp,"87.84761810302734,81.0403938293457,49.80445861816406,45.38199234008789,64.30934143066406,65.15065002441406"
"[0.36436164 0.7884822  0.84880537 0.33959755 0.79781955 0.75155294
 0.33571345 0.7982666  0.68274695 0.28815895 0.769145   0.8480535
 0.28582495 0.7694567  0.8836822  0.29703408 0.6952778  0.84409744
 0.28775603 0.7119557  0.53220505 0.516956   0.66605943 0.7500163
 0.51786536 0.68539757 0.87413204 0.6899544  0.67275864 0.60202104
 0.75786006 0.70162463 0.7525146  0.39891076 0.4957316  0.6225683
 0.38521487 0.4961267  0.6581049  0.51789534 0.33043915 0.7917785
 0.5253837  0.32740766 0.63962287 0.6006494  0.16643788 0.8194761
 0.61480206 0.15710565 0.8185923 ]",pushup,"12.01715850830078,8.972724914550781,15.417381286621094,8.701759338378906,169.54819059371948,170.2145013809204"
"[0.21356761 0.46692017 0.76788425 0.18102387 0.49269363 0.9555305
 0.184416   0.4381523  0.6777864  0.1807989  0.53327113 0.92102426
 0.19265983 0.40344957 0.9078147  0.27988175 0.61131483 0.8977542
 0.30118316 0.3242343  0.9384917  0.37079778 0.72600096 0.9516648
 0.4401262  0.2314998  0.899885   0.2551799  0.82102656 0.75828093
 0.36132535 0.11297418 0.9250523  0.5365752  0.5570906  0.879457
 0.55113393 0.40613633 0.87640727 0.63325477 0.6703295  0.83009934
 0.6841179  0.36062708 0.94404286 0.8633765  0.6747583  0.7777507
 0.9139873  0.40562633 0.7352159 ]",squat,"150.0320587158203,48.40788269042969,142.96566772460938,118.56167602539062,89.89736938476562,88.98861694335938"
"[0.36775672 0.64450395 0.67116094 0.3537029  0.6393885  0.6282255
 0.35250148 0.63654804 0.78372914 0.35021865 0.6033122  0.506351
 0.34896278 0.5958813  0.6728013  0.3980516  0.58851236 0.7818325
 0.4003727  0.58772606 0.7459776  0.47908047 0.65876365 0.46542418
 0.4809398  0.6641028  0.49217263 0.44345927 0.74320805 0.38727832
 0.44201395 0.7463852  0.71719265 0.6001618  0.5899761  0.60694784
 0.6061415  0.591169   0.7125532  0.47390047 0.6667229  0.45428663
 0.47128767 0.6797664  0.23585008 0.5771679  0.76312613 0.50477064
 0.5733778  0.7595561  0.34516165]",situp,"108.68573760986328,105.67596817016602,145.7369613647461,148.2921028137207,71.84712982177734,71.94649505615234"
"[0.10379779 0.55187887 0.585596   0.08690989 0.56930524 0.6194544
 0.08648236 0.5583616  0.43306178 0.09896997 0.63067496 0.6522762
 0.09823492 0.6150829  0.1147496  0.19969994 0.6567297  0.50942254
 0.19185077 0.64147615 0.44941875 0.35167202 0.6479201  0.3701529
 0.34773675 0.64460534 0.30764067 0.42504543 0.55301774 0.4037156
 0.416304   0.55256987 0.18889056 0.4679122  0.62806916 0.62199867
 0.46629402 0.6137727  0.5953077  0.6535705  0.6490864  0.71978086
 0.65639776 0.61933076 0.7043455  0.8478815  0.66797763 0.6019277
 0.83235055 0.63204616 0.5699049 ]",standingSide,"2.4586639404296875,0.9056854248046876,172.56114196777344,167.4420166015625,125.53646850585938,48.97306847572327"
"[ 0.6394617   0.72489727  0.545327    0.60693306  0.72379893  0.41042706
  0.6044652   0.710028    0.6639526   0.5772519   0.6649832   0.31497896
  0.56982684  0.63589346  0.37654293  0.58514947  0.6176138   0.50195926
  0.56428117  0.5267117   0.37593943  0.62304246  0.54649115  0.07436574
  0.5974629   0.333645    0.6819136   0.71163243  0.53392506  0.15103586
  0.811818    0.33123735  0.33063143  0.6808413   0.29906347  0.1538344
  0.6056059   0.26052308  0.24858092  0.712539    0.04576701  0.304156
  0.7177552   0.02653977  0.29178125  0.72799397 -0.01175405  0.0497063
  0.7028441   0.00782857  0.02270581]",pushup,"64.16024780273438,7.906280517578125,16.78411865234375,9.587203979492188,79.60451918840408,53.87873458862305"
"[0.13016923 0.22298637 0.7754152  0.07673829 0.2475836  0.60704726
 0.08459696 0.20955886 0.84250027 0.04064678 0.32983875 0.72200847
 0.06873333 0.24984147 0.7157552  0.08633168 0.4671592  0.75139934
 0.22032818 0.27379403 0.8541348  0.47231302 0.60563886 0.3914515
 0.50831825 0.26761198 0.72282434 0.7983439  0.6456911  0.4904705
 0.85521024 0.24071577 0.8768283  0.35871997 0.6910115  0.59806466
 0.4502632  0.56682014 0.55093426 0.55219966 0.89464825 0.41682166
 0.61582947 0.8149994  0.26033908 0.6227823  0.9834976  0.12499781
 0.5999739  0.88410705 0.09300672]",pushup,"46.63008117675781,5.070953369140625,4.412765502929688,7.051315307617188,3.203815221786499,12.733031272888184"
"[0.04675229 0.7528423  0.67055136 0.01550195 0.7483234  0.35755962
 0.01509186 0.72172546 0.57145214 0.03269269 0.68669176 0.15899588
 0.03134135 0.6337713  0.5733872  0.26007682 0.66598415 0.8029692
 0.158342   0.5707732  0.6369449  0.58196133 0.67738956 0.78534436
 0.52275944 0.55436206 0.41390714 0.8350153  0.68946815 0.89148223
 0.88523877 0.55131257 0.83727324 0.4685284  0.43300363 0.6065815
 0.43919244 0.36544403 0.7887762  0.6350908  0.28212312 0.7341141
 0.60637563 0.2250492  0.7095709  0.7432454  0.18582466 0.7900339
 0.7491246  0.10677218 0.9438033 ]",pushup,"0.37841796875,0.490692138671875,3.851959228515625,6.00860595703125,2.0964973866939545,0.703399658203125"
"[0.18797563 0.70760596 0.7656753  0.16567823 0.7154719  0.82614213
 0.15990114 0.6763307  0.80065846 0.17757025 0.6943154  0.68302786
 0.18144523 0.5977498  0.82924557 0.34220546 0.7238972  0.8566094
 0.32417727 0.49361107 0.89904976 0.4855054  0.6661221  0.49169257
 0.5132091  0.35066864 0.7629459  0.39849868 0.74171674 0.26628378
 0.3862144  0.36444595 0.8569277  0.65210974 0.56514406 0.8649097
 0.6326124  0.38307846 0.72237027 0.6359847  0.80507755 0.6561811
 0.63225555 0.5057053  0.7635191  0.84568024 0.6233329  0.6803361
 0.8799293  0.43333945 0.80330825]",squat,"73.54582977294922,45.23941802978516,70.11731719970703,59.03066253662109,30.904239654541016,19.02721405029297"
"[0.6801822  0.17425095 0.57868737 0.62962806 0.20323856 0.67684084
 0.633758   0.16489092 0.78538644 0.58262455 0.28657952 0.7599004
 0.59734607 0.20496295 0.46653935 0.5969718  0.41941187 0.66076624
 0.60806257 0.21701697 0.33853108 0.55811423 0.6697993  0.8111193
 0.6970967  0.21487759 0.31583396 0.80700636 0.6613381  0.60586965
 0.85534406 0.23370047 0.5334701  0.68009126 0.81252885 0.37310147
 0.68037736 0.71322536 0.23893464 0.6352764  0.95797104 0.2457815
 0.9792315  0.72729164 0.10221582 0.923299   0.833141   0.07906427
 0.858007   0.76345277 0.06156414]",pushup,"160.6954231262207,49.442359924316406,79.01359558105469,29.06415557861328,171.84029304981232,79.23160314559937"
