ingredient,cal,protein,fat,carb,fiber,category,,,,,,,,,,,,,
"Kacang tolo, rebus",138,10.7,1.1,22.6,0.9,vegan,,,,,,,,,,,,,
Ampas kacang hijau,96,3.7,0.6,19.1,2.7,vegan,,,,,,,,,,,,,
"Ampas tahu, mentah",67,5,2.1,8.1,4.1,vegan,,,,,,,,,,,,,
Ampas tahu kukus,75,4.1,2.1,10.7,5.1,vegan,,,,,,,,,,,,,
"Ampas tahu, kering",414,26.6,18.3,41.3,0,vegan,,,,,,,,,,,,,
"Pepea oncom ampas
tahu",76,5.2,1.8,10.6,2.2,vegan,,,,,,,,,,,,,
Bungkil biji karet,333,29.3,3.3,50,,vegan,,,,,,,,,,,,,
Bungkil kacang tanah,336,37.4,13,30.5,,vegan,,,,,,,,,,,,,
Bungkil kelapa,368,23,15,40,,vegan,,,,,,,,,,,,,
Dodol banjarmasin,368,2.6,8.6,70,0.5,vegan,,,,,,,,,,,,,
"Emping (kerupuk
melinjo)",345,12,1.5,71.5,,vegan,,,,,,,,,,,,,
Emping komak,355,17.8,4.6,60.7,,vegan,,,,,,,,,,,,,
"Enting-enting gepuk
hello kity",538,13.6,30.3,52.6,0.2,vegan,,,,,,,,,,,,,
"Enting-enting gepuk
kacang tanah",524,13.3,29.2,52,0.2,vegan,,,,,,,,,,,,,
Enting-enting wijen,565,18.2,38.4,36.8,1.9,vegan,,,,,,,,,,,,,
Geplak,350,1.4,14.4,53.6,1.8,vegan,,,,,,,,,,,,,
Geplak jahe,462,3.1,24.4,57.7,3.3,vegan,,,,,,,,,,,,,
Kacang atom,533,27.8,38.1,28.8,2.5,vegan,,,,,,,,,,,,,
Kacang goyang,516,14.7,31.1,44.4,,vegan,,,,,,,,,,,,,
Kacang negara,480,18.4,19.1,58.5,11.7,vegan,,,,,,,,,,,,,
Kacang sukro,484,8.8,26.1,57.7,1.8,vegan,,,,,,,,,,,,,
Kacang tanah sari,561,25.5,43.8,26,2.2,vegan,,,,,,,,,,,,,
"Keju kacang tanah
(peanut butter)",590,27,49,20.9,1.6,vegan,,,,,,,,,,,,,
Kembang tahu,380,48.9,13.8,23.3,0,vegan,,,,,,,,,,,,,
Kembang tahu rebus,90,10.7,4,4.7,,vegan,,,,,,,,,,,,,
Keripik oncom,598,8.3,43.8,42.6,3.3,vegan,,,,,,,,,,,,,
Keripik tempe,581,12.1,40.6,41.7,2.2,vegan,,,,,,,,,,,,,
"Keripik tempe abadi
besar",556,15.8,37.1,39.8,3.5,vegan,,,,,,,,,,,,,
"Keripik tempe abadi
murni",542,40.3,42.4,11.6,2.2,vegan,,,,,,,,,,,,,
"Keripik tempe abadi
sedang",510,12.3,27.9,52.4,3.6,vegan,,,,,,,,,,,,,
"Keripik tempe abadi
telur",529,20.8,31.7,40.2,3,vegan,,,,,,,,,,,,,
"Kerupik tempe abadi
prima",540,16.7,33.9,42,2.2,vegan,,,,,,,,,,,,,
Kwaci,515,30.6,42.1,13.8,13.6,vegan,,,,,,,,,,,,,
"Melinjo emping tebal
goreng manis",439,10,16.4,65.7,,vegan,,,,,,,,,,,,,
"Melinjo emping tebal,
goreng asin",431,11.1,16.2,63,,vegan,,,,,,,,,,,,,
"Melinjo emping tipis
goreng",485,11.5,24.5,59.1,,vegan,,,,,,,,,,,,,
Moon tahu,128,8,10,1.3,0.2,vegan,,,,,,,,,,,,,
Oncom,187,13,6,22.6,,vegan,,,,,,,,,,,,,
"Oncom ampas kacang
hijau",376,14.9,6,65.7,12.3,vegan,,,,,,,,,,,,,
"Oncom kacang hijau +
singkong",351,11,5.3,65.9,9,vegan,,,,,,,,,,,,,
"Oncom kacang tanah
pepes",132,12.7,3.8,13.7,3.1,vegan,,,,,,,,,,,,,
"Rempeyek kacang
tanah",513,17.5,32.5,44.3,1.7,vegan,,,,,,,,,,,,,
Rempeyek kacang tolo,451,11.2,20.2,59.7,1.8,vegan,,,,,,,,,,,,,
Rempeyek kacang uci,497,17,27.6,50.8,2.4,vegan,,,,,,,,,,,,,
Sayur lebui,64,2.1,0.6,12.5,5.7,vegan,,,,,,,,,,,,,
"Saridele, bubuk",344,30,20,43,6.2,vegan,,,,,,,,,,,,,
Susu kedelai,41,3.5,2.5,5,0.2,vegan,,,,,,,,,,,,,
"Tahu, mentah",80,10.9,4.7,0.8,0.1,vegan,,,,,,,,,,,,,
Tahu goreng,115,9.7,8.5,2.5,0.1,vegan,,,,,,,,,,,,,
Tahu telur,328,12.6,19.9,24.6,0.4,non-vegan,,,,,,,,,,,,,
Takwa,148,13.8,8.5,4,0,vegan,,,,,,,,,,,,,
Tauco,184,11.4,5.5,22.2,1.9,vegan,,,,,,,,,,,,,
"Tauco cap beruang,
cake",347,7.4,5.2,67.6,3.2,vegan,,,,,,,,,,,,,
"Tauco cap DAS, cake",358,7.5,4.3,70.4,3.1,vegan,,,,,,,,,,,,,
Tauco cap meong,159,7.4,4.9,21.3,1.6,vegan,,,,,,,,,,,,,
Tauji cap singa,277,9.1,4.7,49.6,1.2,vegan,,,,,,,,,,,,,
Tempe bongkrek,119,4.4,3.5,18.3,,vegan,,,,,,,,,,,,,
Tempe gembus P3G,73,5.7,1.3,10.3,4.2,vegan,,,,,,,,,,,,,
Tempe gembus yogya,76,6.8,0.7,10.6,5.3,vegan,,,,,,,,,,,,,
Tempe kacang babi,139,12.5,0.8,21.9,1.8,vegan,,,,,,,,,,,,,
"Tempe kacang
belimbing",212,17.5,10,12.9,2.9,vegan,,,,,,,,,,,,,
"Tempe kedelai +
jagung",143,12,5.5,11.4,1.9,vegan,,,,,,,,,,,,,
"Tempe kedelai murni,
goreng",350,24.5,26.6,10.4,4.2,vegan,,,,,,,,,,,,,
"Tempe kedelai murni,
mentah",201,20.8,8.8,13.5,1.4,vegan,,,,,,,,,,,,,
Tempe koro benguk,141,10.2,1.3,23.2,,vegan,,,,,,,,,,,,,
Tempe lamtoro,128,10.7,0.5,21.3,7.1,vegan,,,,,,,,,,,,,
"Tempe lamtoro var,
gung dengan kulit",146,11.7,2.3,19.6,7.6,vegan,,,,,,,,,,,,,
"Tempe lamtoro var,
gung tanpa kulit",131,18,0.8,13,1.3,vegan,,,,,,,,,,,,,
Tempe pasar,150,14,7.7,9.1,1.4,vegan,,,,,,,,,,,,,
Tempe pasar goreng,336,20,28,7.8,3.4,vegan,,,,,,,,,,,,,
"Tepung hunkwe (pati
kacang ijo)",364,4.5,1,83.5,16.1,vegan,,,,,,,,,,,,,
Tepung Jalejo,388,19,7.5,61.2,5.8,vegan,,,,,,,,,,,,,
Tepung kacang kedelai,347,35.9,20.6,29.9,5.8,vegan,,,,,,,,,,,,,
"Akar tonjong, segar",45,1.1,0.4,10.8,1.2,vegan,,,,,,,,,,,,,
"Ale,toge, segar",37,4.4,0.5,3.8,1.7,vegan,,,,,,,,,,,,,
"Andaliman, segar",99,4.6,1,18,8.5,vegan,,,,,,,,,,,,,
"Andewi, segar",226,1.6,0.2,5.3,4.1,vegan,,,,,,,,,,,,,
"Bakung, segar",27,2,0.2,4.2,3.8,vegan,,,,,,,,,,,,,
"Baligo, segar",15,0.4,0.2,3,0.4,vegan,,,,,,,,,,,,,
"Bawang bombay,
segar",43,1.4,0.2,10.3,2,vegan,,,,,,,,,,,,,
"Bayam, segar",16,0.9,0.4,2.9,0.7,vegan,,,,,,,,,,,,,
"Bayam merah, segar",41,2.2,0.8,6.3,2.2,vegan,,,,,,,,,,,,,
"Bit, segar",41,1.6,0.1,9.6,2.6,vegan,,,,,,,,,,,,,
Buah kelor,38,1.5,0.2,7.5,3.2,vegan,,,,,,,,,,,,,
Buah merah,87,2.6,2.7,13.1,4,vegan,,,,,,,,,,,,,
"Buncis, segar",34,2.4,0.3,7.2,1.9,vegan,,,,,,,,,,,,,
"Bunga pepaya, segar",45,2.6,0.3,8.1,1.6,vegan,,,,,,,,,,,,,
"Bunga turi, segar",42,2,1.1,6.1,3.3,vegan,,,,,,,,,,,,,
"Caisin, segar",20,1.7,0.4,3.4,1.2,vegan,,,,,,,,,,,,,
"Daun bangun-bangun, segar",27,1.3,0.6,4,1,vegan,,,,,,,,,,,,,
"Daun bawang  merah, segar",41,2,0.3,7.8,2.1,vegan,,,,,,,,,,,,,
"Daun bebuas, segar",41,2.7,1,7.3,2.1,vegan,,,,,,,,,,,,,
"Daun belem, segar",50,4.4,1.4,7.8,1.9,vegan,,,,,,,,,,,,,
"Daun bluntas, segar",44,1.8,0.5,9.4,,vegan,,,,,,,,,,,,,
"Daun gandaria, segar",63,3.1,0.3,14,2.1,vegan,,,,,,,,,,,,,
"Daun gedi besar, segar",58,2.9,0.7,10,3.3,vegan,,,,,,,,,,,,,
"Daun gedi kecil, segar",61,3.2,0.7,10.4,3.4,vegan,,,,,,,,,,,,,
"Daun gelang, segar",30,1.3,0.7,5.8,1.3,vegan,,,,,,,,,,,,,
"Daun gunda bali,
segar",50,4.6,0.9,7,1.4,vegan,,,,,,,,,,,,,
"Daun gunda serang,
segar",62,4.2,0.9,9.2,1.3,vegan,,,,,,,,,,,,,
"Daun jambu mete
muda, segar",78,4.6,0.5,16.2,3,vegan,,,,,,,,,,,,,
"Daun jampang, segar",34,3.8,0.5,5.3,1.4,vegan,,,,,,,,,,,,,
"Daun jawaw seluang,
segar",93,5,1.3,15.3,3.9,vegan,,,,,,,,,,,,,
"Daun jonghe, segar",27,2.1,0.7,4.4,2,vegan,,,,,,,,,,,,,
"Daun kacang ma,
segar",36,2.9,0.6,6.8,1.8,vegan,,,,,,,,,,,,,
"Daun kacang panjang, segar",30,3.1,0.3,5.8,1.7,vegan,,,,,,,,,,,,,
"Daun kasbi/singkong karet, segar",92,4,3.6,10.9,5.8,vegan,,,,,,,,,,,,,
"Daun katuk, segar",59,6.4,1,9.9,1.5,vegan,,,,,,,,,,,,,
"Daun kecipir, segar",52,5,0.5,8.5,,vegan,,,,,,,,,,,,,
"Daun kedondong,
segar",59,3.5,0.3,13.4,10.7,vegan,,,,,,,,,,,,,
"Daun kelor, segar",92,5.1,1.6,14.3,8.2,vegan,,,,,,,,,,,,,
"Daun kemang, segar",43,5.5,0.3,7.5,8.4,vegan,,,,,,,,,,,,,
"Daun kenikir, segar",45,3.7,0.5,6.6,5.8,vegan,,,,,,,,,,,,,
"Daun kesum, segar",48,4.5,0.8,9.1,1.6,vegan,,,,,,,,,,,,,
"Daun kol sawi, segar",22,2.1,0.5,3.6,0.9,vegan,,,,,,,,,,,,,
"Daun koro, segar",23,3,0.3,3.7,,vegan,,,,,,,,,,,,,
"Daun kubis, segar",51,2.5,1.1,8,3.4,vegan,,,,,,,,,,,,,
"Daun kumak, segar",14,1.3,0.3,2.3,0.9,vegan,,,,,,,,,,,,,
"Daun labu siam, segar",34,4,0.4,4.7,3.5,vegan,,,,,,,,,,,,,
"Daun labu
waluh/kuning, segar",34,3.6,0.6,4.5,2.9,vegan,,,,,,,,,,,,,
"Daun lamtoro, segar",87,8.3,1.8,14.4,3.3,vegan,,,,,,,,,,,,,
"Daun leilem, segar",76,2.8,0.2,15.8,3.1,vegan,,,,,,,,,,,,,
"Daun leunca, segar",49,4.7,0.5,8.1,,vegan,,,,,,,,,,,,,
"Daun lobak, segar",30,2.3,0.4,5.8,3.2,vegan,,,,,,,,,,,,,
"Daun lompong talas,
segar",44,3,0.8,7.4,3.3,vegan,,,,,,,,,,,,,
"Daun mangkokan,
segar",57,3.7,0.3,11.8,,vegan,,,,,,,,,,,,,
"Daun matel ambon,
segar",71,6.8,1.6,11.5,4.6,vegan,,,,,,,,,,,,,
"Daun melinjo, segar",104,5,1.3,21.3,10.3,vegan,,,,,,,,,,,,,
"Daun mengkudu,
segar",65,4,1.7,11.4,3.9,vegan,,,,,,,,,,,,,
"Daun ndusuk, segar",166,1.7,0.5,38.8,10.7,vegan,,,,,,,,,,,,,
"Daun oyong, segar",22,1,0.1,5.3,2,vegan,,,,,,,,,,,,,
"Daun pakis, segar",39,4.5,0.4,6.9,2,vegan,,,,,,,,,,,,,
"Daun pakis longgiho,
segar",54,2.2,3.6,3.1,2.1,vegan,,,,,,,,,,,,,
"Daun pakis
wambateu, segar",53,3.4,1.2,7.2,4.8,vegan,,,,,,,,,,,,,
"Daun paku, segar",29,3.4,0.1,6.5,4.3,vegan,,,,,,,,,,,,,
"Daun pangi,segar",104,3.9,0.6,17.9,8.3,vegan,,,,,,,,,,,,,
"Daun pare, segar",49,2.7,1,8.4,3,vegan,,,,,,,,,,,,,
"Daun pepaya, segar",87,8,2,11.9,1.5,vegan,,,,,,,,,,,,,
"Daun pohpohan, segar",37,2.5,0.8,6.9,2.6,vegan,,,,,,,,,,,,,
"Daun selasih, segar",62,4,0.5,10.5,5.3,vegan,,,,,,,,,,,,,
"Daun semanggi, segar",45,4.4,0.5,8.5,1.9,vegan,,,,,,,,,,,,,
"Daun simpur, segar",53,3.2,2.5,7.6,1.6,vegan,,,,,,,,,,,,,
"Daun singkil, segar",68,2,1,15.2,3.3,vegan,,,,,,,,,,,,,
"Daun singkong, segar",50,6.2,1.1,7.1,2.4,vegan,,,,,,,,,,,,,
"Daun singkong
ambon, segar",144,12.7,1.2,25.2,10.2,vegan,,,,,,,,,,,,,
"Daun singkong
ampenan, segar",50,6.2,1.1,7.1,2.4,vegan,,,,,,,,,,,,,
"Daun singkong
kopang, segar",74,6.3,0.7,10.7,4.6,vegan,,,,,,,,,,,,,
"Daun sintrong, segar",36,2.6,0.9,6.1,1.7,vegan,,,,,,,,,,,,,
"Daun talas, segar",59,3,0.4,13.5,3,vegan,,,,,,,,,,,,,
"Daun tespong, segar",70,2.9,0.3,13.9,2.3,vegan,,,,,,,,,,,,,
"Daun ubi kuning,
segar",62,3.7,0.3,11.1,6.4,vegan,,,,,,,,,,,,,
"Daun ubi merah, segar",48,3,0.3,10.8,1.4,vegan,,,,,,,,,,,,,
"Daun ubi putih, segar",46,2.8,0.2,8.2,4.8,vegan,,,,,,,,,,,,,
"Daun ubi tinta, segar",55,1.7,0.1,11.9,7.6,vegan,,,,,,,,,,,,,
"Eceng, segar",19,1,0.2,3.8,1.8,vegan,,,,,,,,,,,,,
"Gambas (oyong), segar",19,0.8,0.2,4.1,1.3,vegan,,,,,,,,,,,,,
"Genjer, segar",35,1.7,0.2,7.7,2.5,vegan,,,,,,,,,,,,,
"Jagung muda / semi,
segar",35,2.2,0.1,7.4,1.9,vegan,,,,,,,,,,,,,
Jamur encik,296,9.4,1.1,62,,vegan,,,,,,,,,,,,,
"Jamur kuping, kering",294,16,0.9,64.6,46.5,vegan,,,,,,,,,,,,,
"Jamur kuping, segar",21,3.8,0.6,0.9,5.1,vegan,,,,,,,,,,,,,
"Jamur merang, segar",30,3.5,0.2,4,2.4,vegan,,,,,,,,,,,,,
"Jamur tiram, segar",30,1.9,0.1,5.5,3.6,vegan,,,,,,,,,,,,,
Jamur sagu,48,1.9,3.2,2.8,1,vegan,,,,,,,,,,,,,
"Jantung pisang, segar",32,1.2,0.3,7.1,3.2,vegan,,,,,,,,,,,,,
"Jengkol, segar",192,5.4,0.3,40.7,1.5,vegan,,,,,,,,,,,,,
"Jotang, segar",34,1.9,0.3,7.1,3.5,vegan,,,,,,,,,,,,,
"Kabau, segar",130,6.7,0.3,25.2,2.9,vegan,,,,,,,,,,,,,
"Kacang mekah,
polong, segar",22,1.1,1,3.4,1.1,vegan,,,,,,,,,,,,,
"Kacang panjang, segar",31,2.3,0.1,5.3,2.7,vegan,,,,,,,,,,,,,
Kacang ranti polong,37,3.1,0.2,7.9,2.5,vegan,,,,,,,,,,,,,
"Kalakai, segar",38,2.4,0.2,6.6,5.8,vegan,,,,,,,,,,,,,
"Kangkung, segar",28,3.4,0.7,3.9,2,vegan,,,,,,,,,,,,,
Kangkung tondano,43,1.8,0.2,8.4,4.3,vegan,,,,,,,,,,,,,
"Kapri muda, segar",45,3.3,0.2,9,1.8,vegan,,,,,,,,,,,,,
Karawila,25,2.3,0.2,3.5,2.1,vegan,,,,,,,,,,,,,
"Kecipir muda, segar",32,2.9,0.2,5.8,5.5,vegan,,,,,,,,,,,,,
"Kecombrang, segar",34,0.9,1,6.7,2.6,vegan,,,,,,,,,,,,,
"Kelawi,kluwih, segar",118,1.5,0.3,27.2,5,vegan,,,,,,,,,,,,,
"Kembang turi, segar",51,1.8,0.6,9.6,5,vegan,,,,,,,,,,,,,
"Kerokot, segar",26,1.7,0.4,3.8,1,vegan,,,,,,,,,,,,,
"Ketimun, segar",8,0.2,0.2,1.4,0.3,vegan,,,,,,,,,,,,,
"Ketimun krai, segar",10,0.5,0.2,2,0.6,vegan,,,,,,,,,,,,,
"Ketimun madura,
segar",9,0.5,0.1,1.9,0.7,vegan,,,,,,,,,,,,,
"Komak, segar",99,3.3,0.1,21.2,10.3,vegan,,,,,,,,,,,,,
Kool kembang,25,2.4,0.2,4.9,1.6,vegan,,,,,,,,,,,,,
"Kool merah,kool putih",29,1.4,0.2,5.3,1.9,vegan,,,,,,,,,,,,,
"Koro kerupuk, polong",128,8.3,0.7,22.1,,vegan,,,,,,,,,,,,,
"Koro wedus, polong",46,3,0.3,7.9,3.3,vegan,,,,,,,,,,,,,
"Kucai, segar",45,2.2,0.3,10.3,4.8,vegan,,,,,,,,,,,,,
"Kucai muda (Lokio),
segar",42,3.8,0.6,7.8,4.9,vegan,,,,,,,,,,,,,
Kulit melinjo,111,4.5,1.1,20.7,5,vegan,,,,,,,,,,,,,
"Kundur, segar",22,0.4,0.2,4.7,1.3,vegan,,,,,,,,,,,,,
"Labu air, segar",19,0.6,0.2,3.8,0.6,vegan,,,,,,,,,,,,,
"Labu kuning, segar",51,1.7,0.5,10,2.7,vegan,,,,,,,,,,,,,
"Labu siam, segar",30,0.6,0.1,6.7,6.2,vegan,,,,,,,,,,,,,
"Labu waluh, segar",32,1.1,0.1,6.6,0.5,vegan,,,,,,,,,,,,,
"Lantar, segar",34,2.2,0.3,5.5,2.9,vegan,,,,,,,,,,,,,
"Lobak, segar",21,0.9,0.1,4.2,1.4,vegan,,,,,,,,,,,,,
"Lumai/Leunca, segar",38,1.1,0.3,7.6,2,vegan,,,,,,,,,,,,,
"Melinjo, segar",66,5,0.7,13.3,,vegan,,,,,,,,,,,,,
Mostarda metan -sawi,33,2.3,0.5,4.7,1.8,vegan,,,,,,,,,,,,,
"Nangka muda, segar",57,2,0.4,11.3,8.3,vegan,,,,,,,,,,,,,
"Paria putih, segar",19,1,0.4,3.6,1.3,vegan,,,,,,,,,,,,,
"Pepare ular, segar",19,0.6,0.1,3.9,1,vegan,,,,,,,,,,,,,
"Pepaya muda, segar",29,2.1,0.1,4.9,2.1,vegan,,,,,,,,,,,,,
"Petai, segar",92,5.4,1.1,15.2,2,vegan,,,,,,,,,,,,,
"Peterseli, segar",53,3.7,1,9,0,vegan,,,,,,,,,,,,,
"Pucuk lumai/daun leunca, segar",33,4.5,0.4,2.8,,vegan,,,,,,,,,,,,,
"Putri malu, segar",76,3.6,0.3,14.6,7.1,vegan,,,,,,,,,,,,,
"Rebung, segar",25,0.8,0.1,5.3,9.7,vegan,,,,,,,,,,,,,
"Rimbang, segar",75,1.6,0.6,15.8,10,vegan,,,,,,,,,,,,,
Rumput laut,41,1.4,0.3,8.1,2.2,vegan,,,,,,,,,,,,,
"Sawi, segar",28,2.3,0.3,4,2.5,vegan,,,,,,,,,,,,,
"Sawi putih / pecai,
segar",9,1,0.1,1.7,0.8,vegan,,,,,,,,,,,,,
"Sawi taiwan, segar",30,1.9,0.5,4.4,2.7,vegan,,,,,,,,,,,,,
"Sawi tanah, segar",19,1.3,0.2,2.9,2.2,vegan,,,,,,,,,,,,,
"Selada, segar",18,1.2,0.2,2.9,1.8,vegan,,,,,,,,,,,,,
"Selada air, segar",17,3.1,0.2,2.2,0.7,vegan,,,,,,,,,,,,,
"Seledri, segar",23,1,0.1,4.6,2,vegan,,,,,,,,,,,,,
"Taoge, segar",34,3.7,1.2,4.3,1.1,vegan,,,,,,,,,,,,,
"Taoge kacang kedelai,
segar",76,9,2.6,6.4,0.7,vegan,,,,,,,,,,,,,
"Taoge kacang
tunggak, segar",40,5,0.2,5.8,2.6,vegan,,,,,,,,,,,,,
"Tebu terubuk (lilin),
segar",30,4.6,0.4,3,0.8,vegan,,,,,,,,,,,,,
"Tekokak, segar",34,2,0.1,7.9,4.9,vegan,,,,,,,,,,,,,
"Tekokak, kering",302,8.3,1.7,72.6,21.2,vegan,,,,,,,,,,,,,
"Terong, segar",28,1.1,0.2,5.5,2.1,vegan,,,,,,,,,,,,,
"Terong asam, segar",37,2,0.4,6.3,3.2,vegan,,,,,,,,,,,,,
"Terung belanda, segar",52,2.1,1.1,8.6,1.4,vegan,,,,,,,,,,,,,
"Terung bengkulu,
segar",52,1.1,0.4,11.2,3.2,vegan,,,,,,,,,,,,,
"Terong hintalo, segar",45,1.9,0.8,7.5,5.1,vegan,,,,,,,,,,,,,
Terung panjang,25,2.1,0.1,5.3,0.5,vegan,,,,,,,,,,,,,
"Tomat, air (sari), segar",20,1,0.2,3.5,0.4,vegan,,,,,,,,,,,,,
"Tomat merah, segar",24,1.3,0.5,4.7,1.5,vegan,,,,,,,,,,,,,
"Tomat muda, segar",24,2,0.7,3.3,1.8,vegan,,,,,,,,,,,,,
"Uceng/ bunga melinjo, segar",82,5.8,1.3,11.7,4.8,vegan,,,,,,,,,,,,,
"Umbut kelapa, segar",39,2,0.2,7.2,2.5,vegan,,,,,,,,,,,,,
Umbut rotan,34,2.4,0.3,5.5,2.2,vegan,,,,,,,,,,,,,
"Wortel, segar",36,1,0.6,7.9,1,vegan,,,,,,,,,,,,,
"Bayam, kukus",30,1.3,0.7,5.8,1.2,vegan,,,,,,,,,,,,,
"Bayam ,rebus",23,1.2,0.6,3.7,1.1,vegan,,,,,,,,,,,,,
"Buncis, rebus",30,2.2,0.2,6.4,1.5,vegan,,,,,,,,,,,,,
"Daun kacang panjang,
kukus",40,3.7,0.3,8,1.8,vegan,,,,,,,,,,,,,
"Daun katuk, rebus",53,5.3,0.9,9.1,1.2,vegan,,,,,,,,,,,,,
"Daun kelor, rebus",61,6.1,0.9,10,0.9,vegan,,,,,,,,,,,,,
"Daun mengkudu,
kukus",63,3.8,1.5,11.5,2.4,vegan,,,,,,,,,,,,,
"Daun singkong, rebus",31,3.7,0.6,4.8,1.6,vegan,,,,,,,,,,,,,
"Daun talas, rebus",27,1.3,0.2,5.9,1.6,vegan,,,,,,,,,,,,,
"Daun ubi merah,
kukus",56,3.1,0.3,13,1.5,vegan,,,,,,,,,,,,,
"Kacang panjang
,kukus",39,3,0.6,7.6,1.7,vegan,,,,,,,,,,,,,
"Kacang panjang, rebus",30,2.3,0.4,5.8,1.4,vegan,,,,,,,,,,,,,
"Kangkung, kukus",30,3.2,0.7,4.7,1.8,vegan,,,,,,,,,,,,,
"Kangkung, rebus",22,2.5,0.6,3.1,1.2,vegan,,,,,,,,,,,,,
"Paria putih, kukus",16,0.8,0.2,3.4,1.2,vegan,,,,,,,,,,,,,
"Selada, rebus",19,2.7,0.2,2.9,0.7,vegan,,,,,,,,,,,,,
"Taoge, goreng",88,3.2,2.1,14,0.7,vegan,,,,,,,,,,,,,
"Taoge, seduh",28,3,0.8,4,1,vegan,,,,,,,,,,,,,
"Terung panjang,
kukus",23,1.8,0.1,4.9,0.4,vegan,,,,,,,,,,,,,
"Wortel, rebus",28,0.7,0.5,6.3,0.8,vegan,,,,,,,,,,,,,
"Wortel, kukus",37,1,0.6,8.3,1.1,vegan,,,,,,,,,,,,,
"Asinan Bogor, sayuran",98,3.9,2.6,14.8,0.5,vegan,,,,,,,,,,,,,
"Anyang, sayur",126,3.4,7.9,10.3,5.4,vegan,,,,,,,,,,,,,
"Ares, sayur",113,0.9,7.2,11.2,4.7,vegan,,,,,,,,,,,,,
Arwan sirsir,277,2.4,25,10.7,4.6,vegan,,,,,,,,,,,,,
Beberuk,65,1.1,5.2,3.5,3.1,vegan,,,,,,,,,,,,,
Botok lamtoro,186,11.7,9.7,13,2.1,vegan,,,,,,,,,,,,,
Buntil daun talas,141,4.4,10.2,8,1.8,vegan,,,,,,,,,,,,,
Cammetutu,102,3.2,6,8.7,4.3,vegan,,,,,,,,,,,,,
"Cap cai, sayur",97,5.8,6.3,4.2,0.6,vegan,,,,,,,,,,,,,
Gado-gado,137,6.1,3.2,21,1.1,vegan,,,,,,,,,,,,,
"Gudeg, sayur",160,3.3,9.2,16,2.3,vegan,,,,,,,,,,,,,
Gulai pakis,143,4,11.4,6,1.4,vegan,,,,,,,,,,,,,
Gulai pliek,176,7.3,14.9,3.2,,vegan,,,,,,,,,,,,,
Kadada katembe,110,4.5,6.9,7.1,3.9,vegan,,,,,,,,,,,,,
"Kaparende, sayur",38,2.4,2,2.6,1.5,vegan,,,,,,,,,,,,,
"Karedok, sayur",92,2.2,3.3,14.1,1.4,vegan,,,,,,,,,,,,,
Keripik bayam,586,4.9,40.6,50.2,0.5,vegan,,,,,,,,,,,,,
Kotiu hinela tawang nggole,46,2.2,1.5,6,3.8,vegan,,,,,,,,,,,,,
Lema/ Rebung asam,15,1,0.4,1.9,,vegan,,,,,,,,,,,,,
Lilin bungkus gedi,79,2.3,5.2,5.8,2.5,vegan,,,,,,,,,,,,,
Olah-olah,9,2.1,6,7.1,4.4,vegan,,,,,,,,,,,,,
"Paku hinela
wulelenggapaya",77,3.5,4.6,5.4,3.6,vegan,,,,,,,,,,,,,
Pelecing kangkung,75,2.5,2.8,10,5.4,vegan,,,,,,,,,,,,,
Purundawa,25,1.5,0.5,3.6,1.7,vegan,,,,,,,,,,,,,
Rujak cingur,153,11.3,8.4,8,1.4,vegan,,,,,,,,,,,,,
Sayur asem,29,0.7,0.6,5,0.6,vegan,,,,,,,,,,,,,
Sayur bunga pepaya,49,1.7,0.3,9.8,2.7,vegan,,,,,,,,,,,,,
Sayur garu,178,2.6,13.9,10.6,8.4,vegan,,,,,,,,,,,,,
Sayur kohu-kohu,133,7.3,6.6,11.2,1.2,vegan,,,,,,,,,,,,,
Sayur lilin-terubuk,36,2.7,0.7,4.8,1.4,vegan,,,,,,,,,,,,,
Sayur ndusuk,49,3.1,2.5,3.6,,vegan,,,,,,,,,,,,,
Sayur sop,27,1.3,2,1,0.3,vegan,,,,,,,,,,,,,
Sayur umbut kelapa,67,5.2,2.9,5.1,1.4,vegan,,,,,,,,,,,,,
Sayur umbut rotan,57,5.4,2.6,3.1,1.6,vegan,,,,,,,,,,,,,
Shabu-shabu,88,3.2,8,0.8,0.9,vegan,,,,,,,,,,,,,
Semur jengkol,212,6,10,29.1,,vegan,,,,,,,,,,,,,
"Tinira ninahu
nggaluku",33,1.2,1.3,4.1,3.1,vegan,,,,,,,,,,,,,
Tumis bayam bersantan,48,1.4,4.2,2.6,0.5,vegan,,,,,,,,,,,,,
Waluh balamak,45,0.8,0.9,8.1,7.9,vegan,,,,,,,,,,,,,
Woku ubi,143,3.1,7.8,15,7,vegan,,,,,,,,,,,,,
"Alpukat, segar",85,0.9,6.5,7.7,,vegan,,,,,,,,,,,,,
"Anggur hutan, segar",30,0.5,0.2,6.8,1.2,vegan,,,,,,,,,,,,,
"Apel malang, segar",57,0.5,0.4,12.8,0.8,vegan,,,,,,,,,,,,,
"Apel, segar",58,0.3,0.4,14.9,2.6,vegan,,,,,,,,,,,,,
"Arbai, segar",37,0.8,0.5,8.3,,vegan,,,,,,,,,,,,,
"Belimbing, segar",36,0.4,0.4,8.8,3.2,vegan,,,,,,,,,,,,,
"Biwah, segar",51,0.3,0.1,12.1,0.7,vegan,,,,,,,,,,,,,
"Buah atung, segar",23,0.8,0.2,5.2,,vegan,,,,,,,,,,,,,
"Buah kelenting, segar",110,1.4,2.1,21.4,,vegan,,,,,,,,,,,,,
